"","year","state","event_type","fscale","total_economic_cost","lat","lng","casualties"
"357",1996,"IL","TORNADO",0,0,41.56,-88.56,0
"358",1996,"IL","TORNADO",0,0,40.48,-89.34,0
"359",1996,"IL","TORNADO",0,0,40.09,-89.33,0
"360",1996,"IL","TORNADO",0,0,38.49,-88.51,0
"361",1996,"IL","TORNADO",0,0,41.54,-89.5,0
"362",1996,"IL","TORNADO",0,0,39.55,-89.44,0
"363",1996,"IL","TORNADO",0,0,41.24,-89.55,0
"364",1996,"IL","TORNADO",0,0,41.29,-90.21,0
"365",1996,"IL","TORNADO",0,0,39.2,-88.27,1
"366",1996,"IL","TORNADO",1,0,38.05,-89.56,0
"367",1996,"IN","TORNADO",0,0,40.3,-86.58,0
"368",1996,"IN","TORNADO",0,0,40.3,-86.59,0
"369",1996,"IN","TORNADO",1,0,41.15,-86.25,0
"370",1996,"IN","TORNADO",1,0,41.2,-86.17,0
"371",1996,"IN","TORNADO",0,0,41.25,-85.51,0
"372",1996,"IN","TORNADO",0,0.15,38.5,-87.31,0
"373",1996,"IN","TORNADO",2,0.5,37.55,-87.2,0
"374",1996,"IN","TORNADO",2,0.2,38.2,-87.15,0
"375",1996,"IN","TORNADO",0,0.1,38.56,-86.24,0
"376",1996,"IN","TORNADO",0,0.15,38.58,-86.05,0
"377",1996,"IN","TORNADO",1,0.25,39.1,-85.45,0
"378",1996,"IN","TORNADO",0,0,39.11,-85.35,0
"379",1996,"IN","TORNADO",1,1.2,39.17,-85.29,0
"380",1996,"IN","TORNADO",2,0.25,38.23,-86.01,1
"381",1996,"IN","TORNADO",0,0.005,38.19,-87.34,0
"382",1996,"IN","TORNADO",1,0.05,38.1,-86.59,0
"383",1996,"IN","TORNADO",0,0.005,38.09,-87.09,0
"384",1996,"IN","TORNADO",1,0.25,39.34,-87.1,0
"385",1996,"IN","TORNADO",1,0.005,39.09,-87,0
"386",1996,"IN","TORNADO",2,1.3,38.58,-85.58,0
"387",1996,"IN","TORNADO",1,0.05,39.05,-86.06,0
"388",1996,"IN","TORNADO",0,0.04,39.14,-85.37,0
"389",1996,"IN","TORNADO",0,0.05,38.27,-87.13,0
"390",1996,"IN","TORNADO",0,0.015,38.32,-87.31,0
"391",1996,"IN","TORNADO",2,0,38.1,-86.19,0
"392",1996,"IN","TORNADO",0,0,38.18,-86.57,0
"393",1996,"IN","TORNADO",1,0.03,38.01,-87.26,0
"394",1996,"IN","TORNADO",1,0.04,40.05,-86.13,0
"395",1996,"IN","TORNADO",1,0.067,40.25,-86.13,0
"396",1996,"IN","TORNADO",1,0.01,38.1,-86.07,0
"397",1996,"IA","TORNADO",0,0.025,40.48,-94.14,0
"398",1996,"IA","TORNADO",0,0,42.02,-90.24,0
"399",1996,"IA","TORNADO",0,0.01,42.03,-90.24,0
"400",1996,"IA","TORNADO",1,0.07,40.53,-92.53,0
"401",1996,"IA","TORNADO",1,0.075,40.42,-92.18,0
"402",1996,"IA","TORNADO",0,0.005,41.02,-92.51,0
"403",1996,"IA","TORNADO",1,0.38,41.05,-92.45,2
"404",1996,"IA","TORNADO",1,1,41.5,-90.12,0
"405",1996,"IA","TORNADO",0,0,42,-92.46,0
"406",1996,"IA","TORNADO",1,0.002,40.37,-94.28,0
"407",1996,"IA","TORNADO",0,0,40.36,-94.1,0
"408",1996,"IA","TORNADO",0,0,40.49,-93.57,0
"409",1996,"IA","TORNADO",0,0.002,42.48,-92.29,0
